Date	Open	High	Low	Close	Adj Close	Volume
10/28/2020	37.599998	40.009998	37.119999	38.150002	38.150002	27173700
10/29/2020	39.099998	39.349998	37.27	37.369999	37.369999	19740600
10/30/2020	37.43	38.18	34.900002	35.400002	35.400002	24856800
11/2/2020	35.57	36.669998	35.02	35.720001	35.720001	18077400
11/3/2020	36.330002	37.759998	35.84	37.470001	37.470001	19587600
11/4/2020	39.43	40.790001	38.330002	39.459999	39.459999	28877500
11/5/2020	41.27	43.599998	40.82	43.029999	43.029999	31924100
11/6/2020	42.23	42.66	41.169998	42.32	42.32	18198500
11/9/2020	44.169998	44.490002	41.470001	41.5	41.5	21113400
11/10/2020	40.790001	41.09	38.439999	40.360001	40.360001	17118800
11/11/2020	40.77	41.867001	39.75	41.639999	41.639999	12613500
11/12/2020	40.939999	42.09	40.860001	41.25	41.25	14407200
11/13/2020	45.400002	45.5	42.220001	42.84	42.84	50356100
11/16/2020	42.400002	42.82	40.810001	42.73	42.73	15999600
11/17/2020	44.200001	46.830002	43.25	46.610001	46.610001	33970500
11/18/2020	47.099998	49.060001	46.630001	47.68	47.68	35497900
11/19/2020	48.75	50.02	48.139999	49.32	49.32	25892100
11/20/2020	49.790001	50.049999	47.389999	48.23	48.23	25416700
11/23/2020	48.5	48.880001	46.900002	48.029999	48.029999	18142500
11/24/2020	48.346001	49.040001	46.610001	47.889999	47.889999	17707600
11/25/2020	47.790001	51.080002	47.77	50.23	50.23	23223100
11/27/2020	51.82	52.98	50.707001	52.75	52.75	15833100
11/30/2020	53.5	53.720001	49.080002	52.360001	52.360001	24757400
12/1/2020	52.355999	52.66	49.939999	50.779999	50.779999	15613500
12/2/2020	49.360001	51.490002	48.419998	51.099998	51.099998	11952600
12/3/2020	50.099998	51.84	49.549999	50.060001	50.060001	14833500
12/4/2020	50.243	50.950001	49.080002	49.25	49.25	13044000
12/7/2020	49.41	50.580002	47.630001	47.93	47.93	15649000
12/8/2020	47.490002	50.904999	45.709999	50.849998	50.849998	28733500
12/9/2020	50.099998	53.439999	48.330002	48.939999	48.939999	36523000
12/10/2020	48.330002	50.169998	47.776001	50.110001	50.110001	13172800
12/11/2020	49.970001	51.299999	48.943001	50.09	50.09	14363900
12/14/2020	50.98	51.540001	49.77	50.580002	50.580002	12597000
12/15/2020	51.150002	51.18	49.810001	50.5	50.5	11735700
12/16/2020	50.82	54.34	50.130001	53.799999	53.799999	26323200
12/17/2020	53.970001	55.470001	52.799999	55.200001	55.200001	21196300
12/18/2020	55.169998	55.98	52.130001	53.900002	53.900002	21257500
12/21/2020	51.950001	54.240002	51.799999	53.34	53.34	12148000
12/22/2020	53.849998	54.400002	50.880001	52.400002	52.400002	12317800
12/23/2020	52.576	54.730999	51.41	53.889999	53.889999	13863800
12/24/2020	54	54.487	51.950001	52.110001	52.110001	6275300
12/28/2020	52.360001	52.619999	48.560001	48.959999	48.959999	15618600
12/29/2020	49.040001	49.5	47.279999	48.110001	48.110001	13393800
12/30/2020	48.060001	49.990002	47.75	48.950001	48.950001	9497200
12/31/2020	48.897999	48.950001	46.52	46.560001	46.560001	14606500
1/4/2021	47	47.23	44.5	44.860001	44.860001	14106500
1/5/2021	44.349998	47.779999	44.104	47.580002	47.580002	15146800
1/6/2021	51.341999	51.799999	47.919998	48.994999	48.994999	40876800
1/7/2021	50.060001	50.400002	49.215	49.77	49.77	13108800
1/8/2021	50.310001	52.619999	49.91	52	52	18242400
1/11/2021	50.900002	54.299999	49.810001	53.599998	53.599998	14488700
1/12/2021	53.919998	55.580002	52.709999	53.389999	53.389999	17054900
1/13/2021	53.509998	55.23	52.619999	54.630001	54.630001	11517600
1/14/2021	55.07	56.77	54.599998	54.919998	54.919998	11362000
1/15/2021	54.509998	55.029999	51.700001	53.700001	53.700001	10013600
1/19/2021	53.830002	53.919998	50.779999	51.290001	51.290001	16063800
1/20/2021	53.924999	54.099998	52.07	53.18	53.18	11507500
1/21/2021	53.580002	54.445	52.66	53.560001	53.560001	8633700
1/22/2021	52.889999	53.560001	51.75	52.529999	52.529999	9262400
1/25/2021	52.959999	53.639999	49.68	51.290001	51.290001	13377600
1/26/2021	53.68	56.52	52.849998	54.060001	54.060001	24225800
1/27/2021	53.630001	56.689999	52.09	54.27	54.27	19397200
1/28/2021	54.009998	57.889999	52.75	56.169998	56.169998	21573800
1/29/2021	56.990002	57.540001	52.610001	54.110001	54.110001	16429400
2/1/2021	54.540001	55.75	53.141998	54.639999	54.639999	11008700
2/2/2021	58.459999	60.950001	57.419998	59.310001	59.310001	31613900
2/3/2021	60.09	60.849998	58.389999	60.110001	60.110001	12745100
2/4/2021	62.330002	63.169998	60.841	63.16	63.16	16945000
2/5/2021	63.900002	64.510002	62.41	63.869999	63.869999	16462700
2/8/2021	64.720001	64.779999	60.580002	61.970001	61.970001	19914900
2/9/2021	62.362	63.689999	61.709999	62.130001	62.130001	11989800
2/10/2021	62.84	63.82	61.02	62.709999	62.709999	10321400
2/11/2021	62.240002	62.548	58.639999	59.189999	59.189999	14585800
2/12/2021	59.259998	61.169998	59.200001	61.07	61.07	7583700
2/16/2021	61.549999	61.73	59.939999	60.5	60.5	6184300
2/17/2021	59.950001	60.029999	57.634998	58.860001	58.860001	9093700
2/18/2021	57.860001	58.860001	56.515999	58.279999	58.279999	7262300
2/19/2021	60.389999	61.826	59.485001	60.91	60.91	11456200
2/22/2021	61.549999	63.25	60.174	60.369999	60.369999	10018200
2/23/2021	57.23	60.439999	52.669998	60.27	60.27	17481100
2/24/2021	60.514999	60.830002	58.240002	60.279999	60.279999	7356800
2/25/2021	60.389999	61.630001	57.209999	57.810001	57.810001	14776100
2/26/2021	60	62.669998	58.27	61.529999	61.529999	25952800
3/1/2021	63.48	68.900002	63.25	68.720001	68.720001	35787200
3/2/2021	68.010002	70.379997	66.889999	68.580002	68.580002	21930700
3/3/2021	71.830002	72.160004	64.890999	65.75	65.75	26283800
3/4/2021	67.169998	68.110001	60.259998	61.91	61.91	28018400
3/5/2021	62.060001	62.5	54.349998	59.52	59.52	25818100
3/8/2021	60.849998	62.310001	59.599998	60.5	60.5	14691300
3/9/2021	64	64.830002	61.950001	62.200001	62.200001	17003800
3/10/2021	64.529999	70.599998	63.790001	69.290001	69.290001	36212100
3/11/2021	69.519997	72.010002	68.230003	71.610001	71.610001	17001300
3/12/2021	69.434998	74.089996	69.080002	71.75	71.75	18558000
